start,open,high,low,close,vwp,volume,trades,macd,rsi,
1550959200000,4114.51,4129,4099.77,4118.87,4116.455248434901,831.5292809999999,7535,17.504782135495212,74.4273749068047,
1550962800000,4119.61,4123.61,4106.92,4117.76,4116.560381645361,682.1711649999999,6842,14.650358350388764,74.05230709492749,
1550966400000,4118,4146,4115.78,4137.34,4131.99611462788,1305.957981,10466,13.05374081920175,76.31928027966785,
1550970000000,4137.35,4148,4128.02,4143.2,4140.236243871258,1245.6762110000002,9973,11.267521392954606,76.96784282027792,
1550973600000,4143.21,4170,4136.75,4161.91,4148.906485971106,1362.431074,9287,10.38092317764307,78.95013277136445,
1550977200000,4161.98,4198,4158.65,4169.7,4178.074955356931,2644.9703609999992,14006,9.258290449899455,79.73227532209106,
1550980800000,4170.63,4180.99,4152.8,4157,4169.275912136587,1586.155257999999,8880,6.546787756877848,74.84939802417679,
1550984400000,4156.75,4175.99,4155.38,4169.42,4164.997760446974,925.2500539999999,8083,4.869899678755793,76.37326784900995,
1550988000000,4168.72,4181,4164.38,4173.11,4171.888363766576,1025.536696,9180,3.265739033778736,76.8225859533683,
1550991600000,4173.1,4173.81,4156.14,4167.14,4166.54496552543,908.3528020000003,8916,1.0949216334612544,74.3587324247151,
1550995200000,4166.6,4171.59,4132,4137.9,4155.741097720363,1417.6585530000002,10759,-2.9691261744220228,63.59979459781184,
1550998800000,4137.82,4147.5,4125.67,4140.48,4137.532448916393,1700.4841000000004,11006,-5.573747254813561,64.09346595141827,
1551002400000,4140.5,4153.83,4132.24,4147.98,4143.784916556176,1685.0481340000001,9163,-6.765804139267914,65.55589639869811,
1551006000000,4148,4153.99,4138.78,4144.68,4147.113081119477,1093.4935970000001,8286,-7.8035718711435536,64.31467522613747,
1551009600000,4144.69,4146.89,4118,4120.74,4131.022257030268,1761.99015,11152,-10.157927734898152,56.02705071671078,
1551013200000,4120.02,4138.9,4086,4105.11,4114.854536865813,2090.16552,11768,-12.505995984306246,51.37257434618652,
1551016800000,4105.11,4106.52,3731.08,3789.98,3866.638048197356,16158.899895999994,78593,-36.43943581245707,18.322477944349657,
1551020400000,3789.98,3830.53,3759.73,3778.65,3794.8153831303885,6146.815877000003,33213,-49.4592405057725,17.87716542598278,
1551024000000,3778.26,3780,3712.66,3758.76,3748.147022901334,7289.075603999996,35673,-55.604731955134845,17.091823726105872,
1551027600000,3758.76,3797.57,3751.66,3774.52,3775.2119055122075,2860.5267280000007,17913,-54.48702274621863,20.087406591052556,
1551031200000,3774.51,3804.15,3760.66,3795.03,3781.0673778728933,1830.295597,13574,-48.59388275494768,23.93899748690373,
1551034800000,3795.05,3798.79,3776.36,3780.57,3785.6349787521913,1416.2789280000004,10843,-42.62168427194382,23.093894907015454,
1551038400000,3781.51,3796.61,3777.78,3793.5,3786.4524230963075,1143.7806210000006,10686,-34.854529285253506,25.62238148325372,
1551042000000,3793.46,3816.19,3785.03,3797.14,3802.6182498928274,1727.2177030000005,13138,-27.08040842184043,26.35642572487383,
1551045600000,3797.98,3798.51,3751.4,3769.14,3776.2702270908458,1487.5869859999991,11900,-22.01485314720388,24.364475995456075,
1551049200000,3767.66,3790.96,3740.11,3743.56,3765.305875881333,1410.5384590000003,11576,-18.638769874841614,22.678203702563593,
1551052800000,3743.56,3782.46,3740,3775.37,3764.7948204085337,1503.2700449999993,10745,-12.250190120976825,29.23700739109414,
1551056400000,3775.45,3788,3768.9,3781.48,3780.071441988015,1127.9920459999996,7895,-6.309470692430978,30.457224035104105,
1551060000000,3781.48,3799.91,3775.28,3799.91,3786.746417993714,995.2480360000002,7935,-0.10134437701398724,34.14599550848625,
1551063600000,3798.89,3812.75,3786.3,3798.45,3801.1735681036025,1615.7099910000006,9017,4.419496387536427,33.99217265763198,
1551067200000,3798.43,3812.2,3793.44,3807.65,3803.3043504684065,1138.0637570000001,8488,8.405569249766145,35.950198941133834,
1551070800000,3808.11,3810,3778.02,3809.96,3799.0142652923696,1248.4196180000001,8691,11.287601740157527,36.45985840534429,
1551074400000,3808.43,3817.91,3802.69,3807.98,3811.4086973670596,1233.3509390000004,8075,12.977586289281547,36.194008271541975,
1551078000000,3806.88,3809.02,3776.29,3780.52,3792.9754875383787,1445.8140940000003,9270,11.953319881626854,32.63945645630456,
1551081600000,3780.23,3800,3779.76,3795.1,3789.6187683730172,1118.3103170000002,7143,12.397928524707297,36.22097901544684,
1551085200000,3795.76,3804.99,3784.15,3790.43,3794.61799615341,1062.6884670000002,7811,12.246932910159686,35.56863992019758,
1551088800000,3790.43,3805,3755.01,3797.63,3788.8830977920065,2471.2429650000013,13390,12.574048750820758,37.43938466222013,
